YDR108W YML077W
YFR052W YGL048C
YCR046C YML009C
YER148W YPL254W
YLR438C-A YMR288W
YDR356W YPL018W
YBR107C YMR168C
YGR091W YKL173W
YBL052C YDL002C
YGL135W YGL147C
YER102W YGR118W
YBR111W-A YOL148C
YDL067C YGL191W
YDR167W YGR186W
YNL262W YOR304W
YHR197W YNL182C
YGR005C YHR058C
YDR224C YJL072C
YGR261C YPL195W
YDR201W YKL052C
YML085C YPR141C
YBR105C YDL176W
YJL063C YPL173W
YHR143W-A YJL148W
YER110C YMR129W
YBR031W YGR148C
Q0085 YJR121W
YNL301C YOL127W
YBR191W YHR141C
YBR055C YJL203W
YGL076C YNL067W
YDR080W YMR231W
YGL016W YMR153W
YNL189W YPL125W
YDL087C YIL061C
YCL010C YOL148C
YKL185W YPL181W
YDR246W YDR407C
YML019W YOR085W
YDR322W YPL183W-A
YIL139C YOR346W
YJR042W YLR335W
YMR125W YPR082C
YDR378C YGR013W
YIR009W YKL012W
YGL200C YIL109C
YAR014C YDR028C
YFR009W YJR121W
YBR009C YOL012C
YGL172W YOR257W
YGL103W YLR344W
YCR046C YNL177C
YBL003C YBR009C
YDL140C YDR308C
YBR152W YIL061C
YBL079W YGR119C
YDL207W YKL068W
YDR394W YGR135W
YGL103W YOR312C
YLR340W YOR234C
YBR191W YPL143W
YDR228C YKL059C
YGL016W YLR335W
YER164W YGL207W
YGR056W YJL176C
YAR003W YJR093C
YAL030W YDR468C
YGR005C YIL126W
YOL127W YPL220W
YIL072W YLR263W
YBR289W YPR070W
YBR081C YMR005W
YJR063W YNL151C
YLR344W YNL069C
YBL079W YML031W
YFL039C YHL025W
YER164W YHR090C
YKL196C YOL018C
YBR152W YGR075C
YBR048W YLR367W
YDR363W-A YFR010W
YNL248C YOR341W
YDL097C YDR427W
YHR196W YJL109C
YDR145W YOR189W
YDL147W YFR004W
YGR215W YMR158W
YDR240C YHR156C
YDL028C YJR112W
YBL092W YGL103W
YDR394W YFR052W
YGL151W YML114C
YDR382W YPL220W
YGL189C YML063W
YJR042W YPR181C
YDR131C YIL046W
YBL052C YHR090C
YCR020W-B YLR321C
YGL070C YOR151C
YDL075W YOL127W
YBR231C YOR189W
YKR026C YOR260W
YLR129W YLR222C
YKR008W YPL235W
YEL018W YGR252W
YDL140C YGR275W
YOR319W YPR178W
YGL135W YOR063W
YGR027C YML024W
YDR130C YIL144W
YER148W YPL235W
YML114C YPR070W
YJL203W YOR159C
YBR084C-A YPL198W
YDR167W YML015C
YDL098C YML049C
YGL151W YPL129W
YAL011W YDR334W
YBR048W YIL069C
YDL087C YKL074C
YML026C YNL096C
YDR237W YGR220C
YDL004W YPR020W
YDR308C YGL127C
YBR122C YGR220C
YOR290C YPL016W
YOR361C YPL237W
YDL043C YDR240C
YLR015W YNL317W
YJL081C YML114C
YLR438C-A YML049C
YBR154C YOR151C
YPL213W YPR094W
YMR268C YPR182W
YGR119C YJL041W
YJL177W YLR325C
YGL076C YLL045C
YBR111W-A YDR359C
YBR189W YDR450W
YGL123W YNL178W
YDR382W YOL120C
YBR231C YER092W
YDR054C YMR168C
YDR260C YKL022C
YCR081W YPL042C
YMR005W YPL129W
YKR037C YPL018W
YGL031C YPL220W
YIL061C YNL147W
YFR010W YMR314W
YDR064W YJL191W
YGR013W YIL061C
YGL076C YKL006W
YDL195W YNL049C
YGR118W YPL090C
YDL081C YGL030W
YIL021W YOL005C
YKR025W YNL248C
YDL002C YNR023W
YPL047W YPL254W
YBR048W YGR027C
YBL038W YHR147C
YDR377W YJR121W
YGL092W YJR042W
YFR002W YGL016W
YBR135W YIL050W
YBR198C YOR290C
YER012W YOR261C
YDR443C YER022W
YPL011C YPL016W
YBL052C YHL025W
YCL010C YDR359C
YGR113W YGR140W
YGR005C YJL140W
YER157W YPR105C
YFL013C YJL176C
YGL076C YOR234C
YCR071C YNL185C
YGL066W YOR023C
YBR123C YDR362C
YDL216C YJR084W
YGL048C YGR253C
YDR167W YFL039C
YDL130W YOR234C
YDL207W YOR257W
YGL207W YPR135W
YGR005C YML098W
YDR359C YPL129W
YHR041C YLR052W
YDR356W YNL225C
YJL081C YPL129W
YDR473C YER146W
YCR081W YOL051W
YDL081C YPR102C
YDR118W YGL003C
YJR007W YPL237W
YCR009C YGR086C
YGL076C YHL033C
YBL027W YEL054C
YDR201W YDR356W
YGR113W YGR188C
YDR025W YDR447C
YLL045C YMR242C
YDR308C YER148W
YBR181C YML024W
YHR200W YLR421C
YBR105C YDR255C
YBL027W YBL092W
YLR234W YPL024W
YAL021C YDR138W
YBL038W YNL284C
YDR116C YDR462W
YJR113C YPL118W
YBR084C-A YGL031C
YIL144W YKR037C
